ANALISI CURVA PROGRESSIONE ARENA (LIVELLI AVVERSARI)
Obiettivo: Verificare se la crescita dei livelli avversari è lineare o esponenziale (Gatekeeping).
Metodo: Media Livello Carte Avversario per fascia di 100 trofei.
================================================================================
RANGE           | N      | AVG OPP LEVEL   | DELTA     
--------------------------------------------------------------------------------
1800-1900            | 16     | 7.167           |           
1900-2000            | 14     | 7.373           | +0.206    
2000-2100            | 34     | 7.748           | +0.375    
2100-2200            | 46     | 7.710           | -0.038    
2200-2300            | 10     | 7.733           | +0.023    
3500-3600            | 20     | 9.139           | +1.406    
3600-3700            | 32     | 9.378           | +0.240    
3700-3800            | 19     | 9.462           | +0.084    
4000-4100            | 27     | 9.621           | +0.159    
4100-4200            | 17     | 9.771           | +0.150    
4200-4300            | 16     | 9.875           | +0.104    
4300-4400            | 21     | 9.921           | +0.046    
4400-4500            | 18     | 9.852           | -0.069    
4600-4700            | 37     | 9.856           | +0.004    
4700-4800            | 67     | 9.952           | +0.096    
4800-4900            | 79     | 10.055          | +0.103    
4900-5000            | 36     | 10.333          | +0.278    
5000-5100            | 80     | 10.317          | -0.017    
5100-5200            | 105    | 10.285          | -0.032    
5200-5300            | 104    | 10.365          | +0.081    
5300-5400            | 81     | 10.468          | +0.102    
5400-5500            | 82     | 10.583          | +0.115    
5500-5600            | 102    | 10.686          | +0.104    
5600-5700            | 119    | 10.796          | +0.109    
5700-5800            | 64     | 10.826          | +0.031    
5800-5900            | 109    | 10.836          | +0.009    
5900-6000            | 82     | 11.015          | +0.179    
6000-6100            | 109    | 11.002          | -0.013    
6100-6200            | 35     | 11.117          | +0.115    
6200-6300            | 157    | 11.158          | +0.040    
6300-6400            | 160    | 11.276          | +0.119    
6400-6500            | 160    | 11.337          | +0.060    
6500-6600            | 250    | 11.360          | +0.023    
6600-6700            | 122    | 11.403          | +0.044    
6700-6800            | 77     | 11.355          | -0.048    
6800-6900            | 39     | 11.655          | +0.300    
6900-7000            | 87     | 11.718          | +0.062    
7000-7100            | 57     | 11.546          | -0.172    
7100-7200            | 54     | 11.753          | +0.207    
7200-7300            | 65     | 11.836          | +0.083    
7300-7400            | 66     | 12.040          | +0.205    
7400-7500            | 17     | 12.007          | -0.034    
7500-7600            | 128    | 12.151          | +0.145    
7600-7700            | 152    | 12.230          | +0.079    
7700-7800            | 130    | 12.362          | +0.132    
7800-7900            | 61     | 12.634          | +0.271    
7900-8000            | 30     | 12.507          | -0.126    
8000-8100            | 30     | 12.774          | +0.267    
8100-8200            | 15     | 12.711          | -0.063    
8200-8300            | 10     | 12.978          | +0.267    
8400-8500            | 38     | 13.111          | +0.133    
8500-8600            | 97     | 13.099          | -0.013    
8600-8700            | 24     | 13.060          | -0.038    
8700-8800            | 11     | 13.121          | +0.061    
8800-8900            | 41     | 13.366          | +0.245    
8900-9000            | 42     | 13.640          | +0.274    
9000-9100            | 17     | 13.601          | -0.039    
9100-9200            | 25     | 13.582          | -0.019    
9200-9300            | 95     | 13.777          | +0.194    
9300-9400            | 76     | 13.816          | +0.039    
9400-9500            | 14     | 14.056          | +0.240    
9500-9600            | 129    | 13.900          | -0.155    
9600-9700            | 95     | 13.940          | +0.040    
9700-9800            | 105    | 13.988          | +0.048    
9800-9900            | 142    | 14.113          | +0.125    
9900-10000           | 67     | 14.206          | +0.092    
10000-10100           | 154    | 14.216          | +0.010    
10100-10200           | 203    | 14.378          | +0.162    
10200-10300           | 196    | 14.439          | +0.061    
10300-10400           | 173    | 14.738          | +0.299    
10400-10500           | 208    | 14.835          | +0.097    
10500-10600           | 370    | 14.849          | +0.014    
10600-10700           | 216    | 14.948          | +0.098    
10700-10800           | 264    | 15.024          | +0.077    
10800-10900           | 230    | 15.140          | +0.116    
10900-11000           | 88     | 15.311          | +0.171    
11000-11100           | 173    | 15.204          | -0.107    
11100-11200           | 96     | 15.381          | +0.177    
11200-11300           | 182    | 15.422          | +0.041    
11300-11400           | 225    | 15.455          | +0.033    
11400-11500           | 155    | 15.528          | +0.074    
11500-11600           | 89     | 15.499          | -0.029    
11600-11700           | 117    | 15.522          | +0.023    
11700-11800           | 70     | 15.568          | +0.046    
11800-11900           | 89     | 15.665          | +0.097    
11900-12000           | 44     | 15.707          | +0.042    
12000-12100           | 124    | 15.632          | -0.075    
12100-12200           | 100    | 15.731          | +0.099    
12200-12300           | 14     | 15.714          | -0.017    
--------------------------------------------------------------------------------
Aumento Medio Livelli per fascia (100 trofei): +0.0971
================================================================================
